index,image_path,image_caption,image_label
0,data/shopping/different/cant these bitches buy something just at less cost.jpg,cant these bitches buy something just at less cost,shopping
1,data/shopping/different/the only sticker bitches care give me the money punk for shopping.jpg,the only sticker bitches care give me the money punk for shopping,shopping
2,data/shopping/different/ofcourse this goes for my shopping addiction bitch wife.jpg,ofcourse this goes for my shopping addiction bitch wife,shopping
3,data/shopping/different/honey i wan to buy those buffaos sure you bitch.jpg,honey i wan to buy those buffaos sure you bitch,shopping
4,data/shopping/different/no goes for 10 hours and buy everything which the bitch didnt need.jpg,no goes for 10 hours and buy everything which the bitch didnt need,shopping
5,data/shopping/different/oh women are professional in this to spent my money these bitches.jpg,oh women are professional in this to spent my money these bitches,shopping
6,data/shopping/different/aking more money from my hubby to sho the bitch.jpg,aking more money from my hubby to sho the bitch,shopping
7,data/shopping/different/its better than waht happening to my wallet my wife is dangerous bitch than covid19.jpg,its better than waht happening to my wallet my wife is dangerous bitch than covid19,shopping
8,data/shopping/different/but what about the expenditure she will pee on me.jpg,but what about the expenditure she will pee on me,shopping
9,data/shopping/different/you still buy it hun bitch.jpg,you still buy it hun bitch,shopping
10,data/shopping/different/i konw one who shops a lot thats my wife for sure that bitch.jpg,i konw one who shops a lot thats my wife for sure that bitch,shopping
11,data/shopping/different/atleast my shopping is doing something good for the whhole family bitch.jpg,atleast my shopping is doing something good for the whhole family bitch,shopping
12,data/shopping/different/then you buy the ketchum another fuck on your hubby pocket you bitch.jpg,then you buy the ketchum another fuck on your hubby pocket you bitch,shopping
13,data/shopping/different/wanted in the case of finsihing all husband money on shoes that bitch.jpg,wanted in the case of finsihing all husband money on shoes that bitch,shopping
14,data/shopping/different/still i am paying not my bitchy wife.jpg,still i am paying not my bitchy wife,shopping
15,data/shopping/different/yeah she just wnats to fuck my pocket .jpg,yeah she just wnats to fuck my pocket ,shopping
16,data/shopping/different/its just my bitch wife cart misses my my money.jpg,its just my bitch wife cart misses my my money,shopping
17,data/shopping/different/not trolling just depressed by there troll faces wife shopping bitches.jpg,not trolling just depressed by there troll faces wife shopping bitches,shopping
18,data/shopping/different/but what about the wallet problem your hubby have you bitch.jpg,but what about the wallet problem your hubby have you bitch,shopping
19,data/shopping/different/the ads itself enough to lure the bitch to shop.jpg,the ads itself enough to lure the bitch to shop,shopping
20,data/shopping/different/doesnt matter i dont have money that bitch already spent it all in her clothes.jpg,doesnt matter i dont have money that bitch already spent it all in her clothes,shopping
21,data/shopping/different/the eegs she boutght for easter is 1000 dollars worth that bitch.jpg,the eegs she boutght for easter is 1000 dollars worth that bitch,shopping
22,data/shopping/different/you only eat my pocket for money you bitch.jpg,you only eat my pocket for money you bitch,shopping
